Code;Título;Tempo inicial;Tipo;Situação;Link;Vídeo base
V01;Foi aí que decidi abrir meu negócio;00:44;Feed;Enviado;https://drive.google.com/open?id=16B3KJx3JQU3K2FXZb1KXhnEamsZYeDyN;Como começamos a empreender
V02;O dia em que escolhi o desgner;01:58;IGTV;Enviado;https://drive.google.com/open?id=1_UliKtkXiBPw2tj7Bbgjg9A3J9aEugX8;Como começamos a empreender
V03;"""A bomba caiu na minha cabeça""";04:58;Feed;Enviado;https://drive.google.com/open?id=1T_fqvinWIDEB2HKqNYEEBf2dA4YDUsfK;Como começamos a empreender
V04;Como a mini sócia surpreendeu a master;01:00;IGTV;Enviado;https://drive.google.com/open?id=1leezkQ-_uj76icPJhmE5RtZdnr0JKWis;Como começamos a empreender
V05;Como nos tornamos sócias;02:00;IGTV;Enviado;https://drive.google.com/open?id=1A20hcLb9rU6kAmah_fk3JFVoWYAk4bh-;Como começamos a empreender
V06;A novata que surpreendeu todos na Pós;02:08;IGTV;Enviado;https://drive.google.com/open?id=19oq90S66MDiBqYC5aj-xegAEKhSoN8Zg;Como começamos a empreender
V07;85% do seu sucesso profissional depende disso;01:12;Feed;Enviado;https://drive.google.com/open?id=1r6Nc8uyY0iY4eDE3WLk3Q-sy7J3x_ndD;Como começamos a empreender
V08;Aprenda a não ter medo de cobrar;02:43;IGTV;Enviado;https://drive.google.com/file/d/179mMU4aw0CpotAglQM6LDYJ4gigS0ewK/view?usp=sharing;Como começamos a empreender
V09;Qual o segredo dos colegas que faturam mais que você?;04:58;IGTV;Enviado;https://drive.google.com/open?id=1kuxAACD4gAM2UfqkekbWSz3qK_XgEuYy;Como começamos a empreender
V10;Isso sim vai te fazer vender mais;07:41;Feed;Enviado;https://drive.google.com/open?id=1hDy7fFWU3db4IP8qBcS1jWT3eHVhf6UE;Como começamos a empreender
V11;Porque decidimos abrir uma startup?;00:53;Feed;Enviado;https://drive.google.com/open?id=1JRExtsKBY_r9sTj7yTgLgTCfC89xXTwy;Como começamos a empreender
V12;Em menos de 24h ele perdeu os 2 empregos;00:51;IGTV;Enviado;https://drive.google.com/open?id=1edJtbXU8Wyuc93EmMhZhgbu3WfptZH3H;Como começamos a empreender
V13;O momento em que quase falimos (antes de começar);06:47;IGTV;Enviado;https://drive.google.com/open?id=1rUN7jtWmgOY8nGUA0giS8qiob5yjCFDm;Como começamos a empreender
V14;"""Em tudo na vida precisamos focar nas oportunidades""";10:13;IGTV;Enviado;https://drive.google.com/open?id=1s5Vg02xLgL0cjeqvnXTVtNchWGcK0AyV;Como começamos a empreender
V17;Teaser 1;;Feed;Enviado;https://drive.google.com/open?id=1ADKSVV4YHtqK3xMr2cJbDIjcxHYZvzMR;Como começamos a empreender
V18;Teaser 2;;Feed;Enviado;https://drive.google.com/open?id=1Zp0pEomPAgSjDmDdWuj33YlbQSBVdEd0;Como começamos a empreender
av07;85% do seu sucesso profissional depende disso;áudio;Feed;Enviado;https://drive.google.com/file/d/1uIztDXohp8_nLDu9V7b9LguoQyvD6xx5/view?usp=sharing;Como começamos a empreender
av10;Isso sim vai te fazer vender mais;áudio;Stories;Enviado;https://drive.google.com/file/d/1NWnbMwf2W1af061mQs_ZDKmklMoKyI0D/view?usp=sharing;Como começamos a empreender
V15;Conheça nosso canal!;00:00;IGTV;Enviado;https://drive.google.com/open?id=1g1UfT4qx5pD3a1xzC0Q1oFOtSjZFNpFF;Bem Vindos!
V16;Vinheta;;Feed;Enviado;https://drive.google.com/open?id=13_4AqEnPen96D3iATliDjWU1BWJ0DiEf;Bem Vindos!
V19;O quarteto fantástico do seu negócio;;IGTV;Enviado;https://drive.google.com/open?id=1rBwypR0CFSA7oXV6hYJqOOTtTypQueQ-;Stories
V20;Adeus retrabalho;;IGTV;Enviado;https://drive.google.com/open?id=1FzaUbJenOg4SQNO_9xx4uYFbyThd0K_W;Stories
V21;Como nós nos diferenciamos do mercado;;IGTV;Editado;https://drive.google.com/open?id=1Xw29q-dihurYngFcPaeABy1z64pSEhok;Stories
V22;Atendimento e qualidade não são mais um diferencial.;;IGTV;Enviado;https://drive.google.com/open?id=1hlZ5wyjbz4xx4DLFlo_HD1INHUGkyigc;Stories
V23;O que é Neuroarquitetura?;;IGTV;Enviado;https://drive.google.com/open?id=1BVkare7_5MH_QTf6A3kQ2tc3oItRbKnL;Stories
V24;Caça-palavras - Você nasceu para brilhar;;Feed;Enviado;https://drive.google.com/open?id=1dUlkk2XO75oC06KNMcJT9zMNhgBdnjrk;Stories
V64;Faça Isso E Veja A Reação Do Seu Cliente!;;Feed;Enviado;https://drive.google.com/open?id=1M3FyMTIQ5MZ6ZvjKvfNO7RtxkB03b93v;Stories
V65;Faça Isso Antes De Passar O Orçamento Para O Cliente;;Feed;Enviado;https://drive.google.com/open?id=1o7oAqKf4xdAaPwwn17gLzDKhiJgmVYoU;Stories
V66;Faça Isso E Acabe Com Seu Retrabalho;;Feed;Enviado;https://drive.google.com/open?id=1PUoEjsS5S2m9F3855r1pMVtL76ypFwrX;Stories
V67;Isso Definitivamente Aumenta Seu Lucro! ;;Feed;Enviado;https://drive.google.com/open?id=1UBzc1Do5hQfDfKXZTf2duvcMaZtRcRfm;Stories
V74;Quem projeta e sofre com o computador é porque ainda não aprendeu isso.;;IGTV;Enviado;https://drive.google.com/drive/folders/1SnuaK5nV8iMGk7pLX0nr75VEpxmvUINj?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AADU3vNV2JFC7FI0t9wB-0cTa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Configuração%20de%20computador%20para%20arquitetos?dl=0&subfolder_nav_tracking=1
V75;Um porta colares para você fazer em casa!;;IGTV;Enviado;https://drive.google.com/drive/folders/1mEpVNVxd3Px6WEbY2vpyUjWNMossB-IC?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AAAfFG1wSiykx6oxLUs-WsbOa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/DYE_porta%20colares?dl=0&subfolder_nav_tracking=1
V76;É assim que se faz para combinar plantas naturais e artificais.;;IGTV;Enviado;https://drive.google.com/file/d/1BDAJithmWrelbXwmc0U1SyPbId2uavaq/view?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AABa5VX_LqDPjfkOoF_Wt2BTa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Plantas_como%20misturar%20naturais%20com%20artificiais?dl=0
V77;Essa é para quem quer um jardim interno.;;IGTV;Enviado;https://drive.google.com/drive/folders/1ZqucyGddSJT-NRjetTqHfDIeW5SkKr1w?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AAAqBLBUjC8Ke4zcQ5XY538ra/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Plantas_montagem%20no%20garden?dl=0
V78;A forma mais efetiva de escolher plantas para ambientes internos;;IGTV;Enviado;https://drive.google.com/drive/folders/1d-dpg3oAF9H9wtsGO-EzkzWAmsGAoryE?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AADtcbJAgQyNBX2YCw40IzFpa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Plantas_para%20ambientes%20internos?dl=0
V79;A forma mais rápida de transformar sua cozinha;;IGTV;Reprovado;;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AACQ3aJkT28pN4dhZwwNBYxIa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Apto%20BSB_cozinha?dl=0
V80;Quando falo que são artificiais, ninguém acredita.;;IGTV;Reprovado;;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AAAlqTf_k-6O_ToPaPTQM7Xxa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/DYE_complementando%20IGTV%20painel%20verde?dl=0
V81;O risco escondido para as plantas na mudança.;;IGTV;Enviado;https://drive.google.com/drive/folders/1gw7gdf2erA_INpIvCx_Zjp9KNYPmdLqc?usp=sharing;https://www.dropbox.com/sh/ilm67g0mreh3kzx/AADzDvhX9SW7czsF6mH0gtIpa/_FELIPE_%20Editor%20V%C3%ADdeos/CANAL%20YOUTUBE/V%C3%ADdeos%20Para%20Edição/Apto%20BSB_plantas?dl=0
V25;Se você não vende assim, então você não sabe vender!;02:29;Feed;Enviado;https://drive.google.com/open?id=1_bo581jP81XUOcBexy-W2JbR5JYQN9IR;Você não pode vender sem saber disso
V26;Sem isso você não tem um negócio.;03:43;Feed;Enviado;https://drive.google.com/open?id=19VAM-U0TYX3xpj3GL--3AikkHKpnxAKB;Você não pode vender sem saber disso
V27;Ser tecnicamente bom, não paga suas contas!;04:12;Feed;Enviado;https://drive.google.com/open?id=1tQF-1ZzPqJEzfKRVyhf_-0isnuGIm_ge;Você não pode vender sem saber disso
V28;Porque o cliente enxerga 99% dos profissionais como iguais?;06:21;Feed;Enviado;https://drive.google.com/open?id=1j41R36CVkydDyid6v-Gk8LvSvNrP9gco;Você não pode vender sem saber disso
V29;Não acredite no cliente e aumente suas vendas;06:56;Feed;Enviado;https://drive.google.com/open?id=1UJsCiYS-Any-X2N08rK7muiwKOpRL9qc;Você não pode vender sem saber disso
V30;Pare de vender para seu cliente!;08:49;Feed;Enviado;https://drive.google.com/open?id=1cCJ7j7KiGyOMcVE2hM_03fEBnqIHpm7F;Você não pode vender sem saber disso
V31; Você não sabe isso sobre Hollywood;09:17;Feed;Enviado;https://drive.google.com/open?id=1AtN1bi-rUZM5rOVEwWZM9ySXCLe1pPd4;Você não pode vender sem saber disso
V32;Como Atrair a Atenção do seu cliente?;10:09;Feed;Enviado;https://drive.google.com/open?id=1tBDdrYCwJnoJFArQ-E08HLAnOJ9TIZ2P;Você não pode vender sem saber disso
V33;O Conteúdo de hoje vale 500 milhões de dólares!;11:48;Feed;Enviado;https://drive.google.com/open?id=1RyL0t7AlTJjWJeoAi7kxBAzBiIEMB1_I;Você não pode vender sem saber disso
V34;Use essa técnica e conquiste seu cliente!;12:31;Feed;Enviado;https://drive.google.com/open?id=1tCVy_ojzsZj8e1iiKd0mM6UWgQWWIMaV;Você não pode vender sem saber disso
V35;Como se tornar inesquecível na mente do seu cliente;15:50;Feed;Enviado;https://drive.google.com/open?id=1xx2IjgeP67G-XztjICR5mkC8ykYA3rPG;Você não pode vender sem saber disso
V36;Aplique isso e surpreenda positivamente seu cliente;17:43;Feed;Enviado;https://drive.google.com/open?id=1zn4txCQq2KUUUOUUn0t2zj7QQfOOfgak;Você não pode vender sem saber disso
V37;"Não faça isso por ""feeling""";19:30;Feed;Enviado;https://drive.google.com/open?id=1E-qc4erGuG6bOJY7fTVVRng27f-eEXw7;Você não pode vender sem saber disso
av25;Se você não vende assim, então você não sabe vender!;áudio;Feed;Enviado;https://drive.google.com/file/d/19PhghCCHZbnWS06RiozuoNAgqp_IZLQT/view?usp=sharing;Você não pode vender sem saber disso
av26;Sem isso você não tem um negócio.;áudio;Reels;Enviado;https://drive.google.com/file/d/10ykyzGsCsgAIoYRjklJ1R1iCimn9WrwT/view?usp=sharing;Você não pode vender sem saber disso
av27;Ser tecnicamente bom, não paga suas contas!;áudio;Reels;Enviado;https://drive.google.com/file/d/1THuA_Ypx15howFQd1k6mtPvYeX1cxr1w/view?usp=sharing;Você não pode vender sem saber disso
V38;Como causar uma boa 1ª impressão em 90s;00:10;Feed;Enviado;https://drive.google.com/open?id=1bXMFJihonMbd_9IjbS0BowDy21vAXlem;Como atrair seu cliente ideal em 90s
V39;Você não vai acreditar no poder dos 90s;00:33;Feed;Reprovado;https://drive.google.com/open?id=1T0mjHyRrBntZh0iR4VGK7rnKIVXj-nxc;Como atrair seu cliente ideal em 90s
V40;Que tipo de vendedor você é?;01:52;Feed;Enviado;https://drive.google.com/open?id=16LIHYfBYCw2_G10pPMP8cXNuxhY0ugOg;Como atrair seu cliente ideal em 90s
V41;Como conquistar um cliente em 90s?;02:34;Feed;Enviado;https://drive.google.com/open?id=1wCX0IW1WfQ8US-fanrXK8-63Pht8d4fJ;Como atrair seu cliente ideal em 90s
V42;Sem isso sua comunicação vai falhar;03:55;Feed;Enviado;https://drive.google.com/open?id=1vZkCA-5ehNVbmz8VL8PHoMMELz-GjkIy;Como atrair seu cliente ideal em 90s
V43;O ruído que pode acabar com a seu negócio;05:14;Feed;Enviado;https://drive.google.com/open?id=1cGzhVOJQt9P3E-1sHii20psLo4E8c__H;Como atrair seu cliente ideal em 90s
V44;Faça isso e seja contratado;06:17;Feed;Enviado;https://drive.google.com/open?id=1zd3TrI0fPs5Hs7nWmvvpa50ju3xRDbIH;Como atrair seu cliente ideal em 90s
V45;as 4 características analisadas pelos clientes;07:07;Feed;Reprovado;https://drive.google.com/open?id=10hJcYakSbPLpvxF5AsRhQaeZwi3Kb3Kd;Como atrair seu cliente ideal em 90s
V46;3 dicas pra melhorar sua comunicação não verbal;07:38;Feed;Enviado;https://drive.google.com/open?id=1F5793f4eNMqA72uY0-9w9IirN4b6QApa;Como atrair seu cliente ideal em 90s
V47;3 dicas pra melhorar sua comunicação verbal;09:51;Feed;Enviado;https://drive.google.com/open?id=19tvaVWX-aSi_TWwoaFEjjdKx1uCVyGPA;Como atrair seu cliente ideal em 90s
V48;3 dicas pra melhorar 38% da sua comunicação;12:15;Feed;Enviado;https://drive.google.com/open?id=1381PgLR5Ig7HM-VQHNmoSWsIMKpMW69A;Como atrair seu cliente ideal em 90s
V49;Por que uma pessoa diz sim?;01:58;Feed;Enviado;https://drive.google.com/open?id=1A92RAXFriRXodvjBaGOPWykpNWRidO5K;Técnicas poderosas para criar conexão com seu cliente
V50;85% das compras são decididas assim.;03:41 - 03:48;Feed;Enviado;https://drive.google.com/open?id=1EnE71fd2v10zsqV9uehNS3C8k_5goBWk;Técnicas poderosas para criar conexão com seu cliente
V51;A chave para deixar seus clientes apaixonados!;04:49;Feed;Enviado;https://drive.google.com/open?id=1poM4bFx3GB4QzAJChLJvlJOWEpbJc9en;Técnicas poderosas para criar conexão com seu cliente
V52;Quando você descobre isso, é um choque!;06:24;Feed;Enviado;https://drive.google.com/open?id=103XuY-2LO9TsjE6cT2fP2AQzGHNgOKB9;Técnicas poderosas para criar conexão com seu cliente
V53;Se você age assim olha o que acontece...;07:25;Feed;Enviado;https://drive.google.com/open?id=1NaTKefhriooRP7Esqv3uwGF0n2h7WALC;Técnicas poderosas para criar conexão com seu cliente
V54;Faça isso e seu cliente irá gostar ainda mais de você!;08:15;Feed;Enviado;https://drive.google.com/open?id=1cKzgmY1UfXozBSEbyE1qNb0oCGPDidfX;Técnicas poderosas para criar conexão com seu cliente
V55;Sem saber isso você perderá seu cliente;10:07;Feed;Enviado;https://drive.google.com/open?id=1rt1eu6cd8z67GZs70k_A165GbMrnHPUC;Técnicas poderosas para criar conexão com seu cliente
V56;Como a minisócia convenceu a Mastersócia a fazer algo que ela não queria;13:13;IGTV;Enviado;https://drive.google.com/drive/folders/1iyIQ2gUoYuWFOX8v0aLASpHZNYh75pXX?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V57;Faça essas 7 perguntas e duplique suas chances de conseguir um SIM!;14:57;Feed;Enviado;https://drive.google.com/open?id=1vj7ry6CovT0avT3h_hL-nXw8O9eDPBqm;Técnicas poderosas para criar conexão com seu cliente
